threshold,precision,recall,f1,flagged_count,false_positives,false_negatives
0.1,0.7264150943396226,0.8105263157894737,0.7661691542288557,106,29,18
0.2,0.8260869565217391,0.8,0.8128342245989305,92,16,19
0.3,0.8444444444444444,0.8,0.8216216216216217,90,14,19
0.4,0.8837209302325582,0.8,0.8397790055248618,86,10,19
0.5,0.9146341463414634,0.7894736842105263,0.847457627118644,82,7,20
0.6,0.9375,0.7894736842105263,0.8571428571428571,80,5,20
0.7,0.9375,0.7894736842105263,0.8571428571428571,80,5,20
0.8,0.9487179487179487,0.7789473684210526,0.8554913294797688,78,4,21
0.9,0.9864864864864865,0.7684210526315789,0.863905325443787,74,1,22
